week,collection_date,views_count,views_uniques,clones_count,clones_uniques,collected_at
2025-W29,7/15/2025,0,0,24,22,2025-07-15T02:00:00Z
2025-W30,7/22/2025,0,0,10,10,2025-07-22T02:00:00Z
2025-W31,7/29/2025,0,0,8,7,2025-07-29T02:00:00Z
2025-W32,8/5/2025,0,0,5,5,2025-08-05T02:00:00Z
2025-W33,8/12/2025,0,0,3,3,2025-08-12T02:00:00Z
2025-W34,8/19/2025,0,0,2,2,2025-08-19T02:00:00Z
2025-W35,8/25/2025,92,1,59,35,2025-09-02T16:06:24Z
2025-W42,2025-10-20,52,3,60,31,2025-11-01T13:52:23.907634+00:00
2025-W43,2025-10-27,64,3,69,37,2025-11-03T03:10:47.873846+00:00
2025-W44,2025-11-03,4,1,24,21,2025-11-10T17:40:41.324982+00:00
2025-W45,2025-11-10,125,2,64,29,2025-11-17T03:09:15.172661+00:00
2025-W46,2025-11-17,2,1,10,8,2025-11-24T03:16:42.404917+00:00
2025-W47,2025-11-24,14,2,18,15,2025-12-01T03:42:50.461613+00:00
2025-W48,2025-12-01,0,0,49,28,2025-12-08T03:14:49.132988+00:00
2025-W49,2025-12-08,0,0,15,12,2025-12-15T03:22:33.246512+00:00
2025-W50,2025-12-15,0,0,21,17,2025-12-22T03:24:37.309214+00:00
2026-W02,2026-01-12,27,3,60,39,2026-01-20T23:41:01.600816+00:00
2026-W03,2026-01-19,16,2,39,27,2026-01-26T03:48:18.969889+00:00
2026-W04,2026-01-26,0,0,35,23,2026-02-02T04:12:58.986820+00:00
2026-W05,2026-02-02,4,2,27,13,2026-02-09T04:15:46.795730+00:00
2026-W06,2026-02-09,0,0,41,23,2026-02-16T04:13:28.889425+00:00
2026-W07,2026-02-16,0,0,31,18,2026-02-23T04:12:46.305873+00:00
2026-W08,2026-02-23,7,1,31,18,2026-03-02T04:03:43.910498+00:00
2026-W09,2026-03-02,0,0,31,18,2026-03-09T04:06:48.796190+00:00
2026-W10,2026-03-09,0,0,46,22,2026-03-16T04:30:38.265175+00:00
